Year,Country,Origin,HS_Code,Description,Weight_kg,Value_USD
2020,,,210390,,48.828,247.956
2020,,,210390,,48.406,281.093
2020,,,210390,,42.406,525.622
2020,,,210390,,17.435,38.85
2020,,,210390,,5.653,54.847
2020,,,210390,,1.406,10.284
2020,,,210390,,2.406,26.281
2020,,,210390,,6.812,82.271
2020,,,210390,,958.87,6308.602
2020,,,200190,,218.535,471.917
2020,,,200190,,5.282,75.415
2020,,,200190,,17.641,18.282
2020,,,200190,,7.049,12.569
2020,,,200190,,29.641,132.548
2020,,,200190,,400.563,860.42
2020,,,210390,,73.812,1016.964
2020,,,210390,,958.87,6308.602
2020,,,210390,,22.406,356.509
2020,,,210390,,1.406,10.284
2020,,,210390,,42.406,525.622
2020,,,210390,,2.406,26.281
2020,,,210390,,17.435,38.85
2020,,,210390,,4.623,79.986
2020,,,210390,,4.406,62.846
2020,,,210390,,48.828,247.956
2020,,,210390,,73.029,462.776
2020,,,210390,,5.653,54.847
2020,,,210390,,41.406,381.647
2020,,,210390,,18.464,175.969
2020,,,210390,,48.406,281.093
2020,,,210390,,6.812,82.271
2020,,,210390,,742.218,2855.497
2020,,,210390,,18.117,180.54
2020,,,210390,,2696.0,5690.426
2020,,,210390,,441612.0,2045872.558
2020,,,210390,,1762148.0,6722739.69
2020,,,210390,,441612.0,2045872.558
2020,,,210390,,37346075.0,84284967.648
2020,,,210390,,22136.0,189474.034
2020,,,210390,,22136.0,189474.034
2020,,,210390,,3813678.0,7947867.761
2020,,,210390,,3813678.0,7947867.761
2020,,,210390,,37346075.0,84284967.648
2020,,,210390,,1762148.0,6722739.69
2020,,,210390,,2696.0,5690.426
2020,,,200190,,3771.662,17935.125
2020,,,200190,,21588.486,136671.912
2020,,,200190,,7.049,12.569
2020,,,200190,,2916328.662,4578191.952
2020,,,200190,,407.253,2578.974
2020,,,200190,,29.641,132.548
2020,,,200190,,106.379,189.681
2020,,,200190,,17.641,18.282
2020,,,200190,,5.282,75.415
2020,,,200190,,9778.084,48614.289
2020,,,200190,,1109.204,6298.318
2020,,,210390,,53.263,425.068
2020,,,210390,,3435.828,15966.329
2020,,,210390,,139333.435,306843.062
2020,,,210390,,37929.857,1546153.776
2020,,,210390,,38945.302,95171.797
2020,,,210390,,791892.075,2403535.235
2020,,,210390,,6.812,82.271
