Item Code,CPC Code,Item
280,'01446,Safflower seed
328,'01921.01,Seed cotton; unginned
289,'01444,Sesame seed
987,'02941,Shorn wool; greasy; including fleece-washed shorn wool
1185,'02944,Silk-worm cocoons suitable for reeling
789,'01929.05,Sisal; raw
1176,'02920,Snails; fresh; chilled; frozen; dried; salted or in brine; except sea snails
83,'0114,Sorghum
530,'01344.01,Sour cherries
236,'0141,Soya beans
373,'01215,Spinach
544,'01354,Strawberries
423,'01241.01,String beans
157,'01801,Sugar beet
156,'01802,Sugar cane
1723,'F1723,Sugar Crops Primary
267,'01445,Sunflower seed
122,'01530,Sweet potatoes
305,'01499.04,Tallowtree seeds
495,'01324,Tangerines; mandarins; clementines
136,'01550,Taro
667,'01620,Tea leaves
388,'01234,Tomatoes
97,'01191,Triticale
777,'01929.02,True hemp; raw or retted
275,'01499.02,Tung nuts
826,'01970,Unmanufactured tobacco
692,'01658,Vanilla; raw
1739,'F1739,Vegetables and Fruit Primary
205,'01709.01,Vetches
222,'01376,Walnuts; in shell
567,'01221,Watermelons
15,'0111,Wheat
137,'01540,Yams
135,'01591,Yautia
